Unnamed: 0,gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event,x_interp,y_interp
40025,2021090900,2279,35441.0,78,2021-09-10T01:58:53.200,93.0,TB,right,76.73,25.87,0.91,0.67,0.09,19.14,18.37,None,,
40026,2021090900,2279,35441.0,79,2021-09-10T01:58:53.300,93.0,TB,right,76.77,25.96,0.9,0.58,0.09,16.91,23.41,None,,
40026,2021090900,2279,35441.0,80,2021-09-10T01:58:53.300,93.0,TB,right,76.78999999999999,25.995,0.9,0.58,0.09,16.91,23.41,None,,
40027,2021090900,2279,35441.0,81,2021-09-10T01:58:53.400,93.0,TB,right,76.81,26.03,0.85,0.55,0.09,14.34,26.86,None,,
40028,2021090900,2279,35441.0,82,2021-09-10T01:58:53.500,93.0,TB,right,76.84,26.11,0.82,0.5,0.08,13.48,26.85,None,,
40028,2021090900,2279,35441.0,83,2021-09-10T01:58:53.500,93.0,TB,right,76.85,26.15,0.82,0.5,0.08,13.48,26.85,None,,
40029,2021090900,2279,35441.0,84,2021-09-10T01:58:53.600,93.0,TB,right,76.86,26.19,0.8,0.56,0.09,13.48,17.37,None,,
40030,2021090900,2279,35441.0,85,2021-09-10T01:58:53.700,93.0,TB,right,76.88,26.27,0.77,0.64,0.08,13.48,12.2,None,,
40030,2021090900,2279,35441.0,86,2021-09-10T01:58:53.700,93.0,TB,right,76.875,26.31,0.77,0.64,0.08,13.48,12.2,None,,
40031,2021090900,2279,35441.0,87,2021-09-10T01:58:53.800,93.0,TB,right,76.87,26.35,0.75,0.79,0.08,16.61,1.94,None,,
40032,2021090900,2279,35441.0,88,2021-09-10T01:58:53.900,93.0,TB,right,76.87,26.43,0.74,0.85,0.08,18.42,352.26,qb_sack,,
40032,2021090900,2279,35441.0,89,2021-09-10T01:58:53.900,93.0,TB,right,76.86,26.465,0.74,0.85,0.08,18.42,352.26,qb_sack,,
40033,2021090900,2279,35441.0,90,2021-09-10T01:58:54.000,93.0,TB,right,76.85,26.5,0.73,0.83,0.07,22.29,343.65,None,,
40034,2021090900,2279,35441.0,91,2021-09-10T01:58:54.100,93.0,TB,right,76.83,26.55,0.64,0.78,0.06,27.31,336.21,None,,
40034,2021090900,2279,35441.0,92,2021-09-10T01:58:54.100,93.0,TB,right,76.815,26.57,0.64,0.78,0.06,27.31,336.21,None,,
40035,2021090900,2279,35441.0,93,2021-09-10T01:58:54.200,93.0,TB,right,76.8,26.59,0.52,0.82,0.05,32.76,328.49,None,,
40036,2021090900,2279,35441.0,94,2021-09-10T01:58:54.300,93.0,TB,right,76.78,26.64,0.47,0.68,0.05,43.75,328.02,None,,
40036,2021090900,2279,35441.0,95,2021-09-10T01:58:54.300,93.0,TB,right,76.775,26.655,0.47,0.68,0.05,43.75,328.02,None,,
40037,2021090900,2279,35441.0,96,2021-09-10T01:58:54.400,93.0,TB,right,76.77,26.67,0.38,0.67,0.04,51.01,330.65,None,,
40038,2021090900,2279,37082.0,1,2021-09-10T01:58:48.100,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,68.48,230.69,None,,
40038,2021090900,2279,37082.0,2,2021-09-10T01:58:48.100,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,68.48,230.69,None,,
40039,2021090900,2279,37082.0,3,2021-09-10T01:58:48.200,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,68.48,227.26,None,,
40040,2021090900,2279,37082.0,4,2021-09-10T01:58:48.300,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,68.48,226.38,None,,
40040,2021090900,2279,37082.0,5,2021-09-10T01:58:48.300,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,68.48,226.38,None,,
40041,2021090900,2279,37082.0,6,2021-09-10T01:58:48.400,77.0,DAL,right,87.11,30.32,0.0,0.0,0.0,69.31,227.65,None,,
40042,2021090900,2279,37082.0,7,2021-09-10T01:58:48.500,77.0,DAL,right,87.1,30.32,0.01,0.34,0.0,69.31,247.83,None,,
40042,2021090900,2279,37082.0,8,2021-09-10T01:58:48.500,77.0,DAL,right,87.1,30.32,0.01,0.34,0.0,69.31,247.83,None,,
40043,2021090900,2279,37082.0,9,2021-09-10T01:58:48.600,77.0,DAL,right,87.1,30.32,0.09,0.77,0.01,69.31,276.22,ball_snap,,
40044,2021090900,2279,37082.0,10,2021-09-10T01:58:48.700,77.0,DAL,right,87.07,30.33,0.26,1.26,0.02,69.31,288.42,None,,
40044,2021090900,2279,37082.0,11,2021-09-10T01:58:48.700,77.0,DAL,right,87.04499999999999,30.34,0.26,1.26,0.02,69.31,288.42,None,,
40045,2021090900,2279,37082.0,12,2021-09-10T01:58:48.800,77.0,DAL,right,87.02,30.35,0.51,1.76,0.05,69.31,290.03,None,,
40046,2021090900,2279,37082.0,13,2021-09-10T01:58:48.900,77.0,DAL,right,86.95,30.38,0.8,2.11,0.08,70.1,291.66,None,,
40046,2021090900,2279,37082.0,14,2021-09-10T01:58:48.900,77.0,DAL,right,86.905,30.4,0.8,2.11,0.08,70.1,291.66,None,,
40047,2021090900,2279,37082.0,15,2021-09-10T01:58:49.000,77.0,DAL,right,86.86,30.42,1.06,2.02,0.1,71.33,292.95,None,,
40048,2021090900,2279,37082.0,16,2021-09-10T01:58:49.100,77.0,DAL,right,86.73,30.48,1.37,1.83,0.14,71.33,295.16,None,,
40048,2021090900,2279,37082.0,17,2021-09-10T01:58:49.100,77.0,DAL,right,86.655,30.52,1.37,1.83,0.14,71.33,295.16,None,,
40049,2021090900,2279,37082.0,18,2021-09-10T01:58:49.200,77.0,DAL,right,86.58,30.56,1.63,1.5,0.17,69.77,296.84,None,,
40050,2021090900,2279,37082.0,19,2021-09-10T01:58:49.300,77.0,DAL,right,86.41,30.64,1.84,1.11,0.19,69.77,297.21,None,,
40050,2021090900,2279,37082.0,20,2021-09-10T01:58:49.300,77.0,DAL,right,86.32,30.68,1.84,1.11,0.19,69.77,297.21,None,,
40051,2021090900,2279,37082.0,21,2021-09-10T01:58:49.400,77.0,DAL,right,86.23,30.72,1.94,0.59,0.19,73.33,295.12,None,,
40052,2021090900,2279,37082.0,22,2021-09-10T01:58:49.500,77.0,DAL,right,86.05,30.78,1.95,0.26,0.19,77.59,292.12,None,,
40052,2021090900,2279,37082.0,23,2021-09-10T01:58:49.500,77.0,DAL,right,85.955,30.8,1.95,0.26,0.19,77.59,292.12,None,,
40053,2021090900,2279,37082.0,24,2021-09-10T01:58:49.600,77.0,DAL,right,85.86,30.82,1.92,0.8,0.19,82.17,287.13,None,,
40054,2021090900,2279,37082.0,25,2021-09-10T01:58:49.700,77.0,DAL,right,85.67,30.85,1.87,1.22,0.19,86.61,281.56,None,,
40054,2021090900,2279,37082.0,26,2021-09-10T01:58:49.700,77.0,DAL,right,85.575,30.835,1.87,1.22,0.19,86.61,281.56,None,,
40055,2021090900,2279,37082.0,27,2021-09-10T01:58:49.800,77.0,DAL,right,85.48,30.82,1.84,1.7,0.2,94.55,269.96,None,,
40056,2021090900,2279,37082.0,28,2021-09-10T01:58:49.900,77.0,DAL,right,85.29,30.78,1.83,1.89,0.19,101.14,260.61,None,,
40056,2021090900,2279,37082.0,29,2021-09-10T01:58:49.900,77.0,DAL,right,85.2,30.735,1.83,1.89,0.19,101.14,260.61,None,,
40057,2021090900,2279,37082.0,30,2021-09-10T01:58:50.000,77.0,DAL,right,85.11,30.69,1.9,2.47,0.2,112.0,248.44,None,,
40058,2021090900,2279,37082.0,31,2021-09-10T01:58:50.100,77.0,DAL,right,84.92,30.59,2.02,2.16,0.21,116.71,240.28,None,,
40058,2021090900,2279,37082.0,32,2021-09-10T01:58:50.100,77.0,DAL,right,84.825,30.53,2.02,2.16,0.21,116.71,240.28,None,,
40059,2021090900,2279,37082.0,33,2021-09-10T01:58:50.200,77.0,DAL,right,84.73,30.47,2.14,1.75,0.22,121.45,234.17,None,,
40060,2021090900,2279,37082.0,34,2021-09-10T01:58:50.300,77.0,DAL,right,84.55,30.32,2.27,1.36,0.24,125.35,230.0,None,,
40060,2021090900,2279,37082.0,35,2021-09-10T01:58:50.300,77.0,DAL,right,84.445,30.235,2.27,1.36,0.24,125.35,230.0,None,,
40061,2021090900,2279,37082.0,36,2021-09-10T01:58:50.400,77.0,DAL,right,84.34,30.15,2.42,0.88,0.26,124.43,228.57,None,,
40062,2021090900,2279,37082.0,37,2021-09-10T01:58:50.500,77.0,DAL,right,84.15,30.0,2.43,0.56,0.25,121.64,228.66,None,,
40062,2021090900,2279,37082.0,38,2021-09-10T01:58:50.500,77.0,DAL,right,84.05000000000001,29.925,2.43,0.56,0.25,121.64,228.66,None,,
40063,2021090900,2279,37082.0,39,2021-09-10T01:58:50.600,77.0,DAL,right,83.95,29.85,2.4,0.68,0.25,116.44,229.64,None,,
40064,2021090900,2279,37082.0,40,2021-09-10T01:58:50.700,77.0,DAL,right,83.75,29.76,2.25,1.24,0.23,108.11,236.13,None,,
40064,2021090900,2279,37082.0,41,2021-09-10T01:58:50.700,77.0,DAL,right,83.655,29.705,2.25,1.24,0.23,108.11,236.13,None,,
40065,2021090900,2279,37082.0,42,2021-09-10T01:58:50.800,77.0,DAL,right,83.56,29.65,2.12,1.68,0.21,97.5,240.15,None,,
40066,2021090900,2279,37082.0,43,2021-09-10T01:58:50.900,77.0,DAL,right,83.35,29.62,2.0,2.19,0.21,82.52,252.29,None,,
40066,2021090900,2279,37082.0,44,2021-09-10T01:58:50.900,77.0,DAL,right,83.255,29.615,2.0,2.19,0.21,82.52,252.29,None,,
40067,2021090900,2279,37082.0,45,2021-09-10T01:58:51.000,77.0,DAL,right,83.16,29.61,1.87,2.43,0.19,74.88,263.21,None,,
40068,2021090900,2279,37082.0,46,2021-09-10T01:58:51.100,77.0,DAL,right,82.97,29.66,1.84,2.59,0.2,61.88,278.33,None,,
40068,2021090900,2279,37082.0,47,2021-09-10T01:58:51.100,77.0,DAL,right,82.88499999999999,29.69,1.84,2.59,0.2,61.88,278.33,None,,
40069,2021090900,2279,37082.0,48,2021-09-10T01:58:51.200,77.0,DAL,right,82.8,29.72,1.78,2.52,0.18,54.43,290.33,None,,
40070,2021090900,2279,37082.0,49,2021-09-10T01:58:51.300,77.0,DAL,right,82.64,29.83,1.84,2.3,0.19,47.74,301.95,None,,
40070,2021090900,2279,37082.0,50,2021-09-10T01:58:51.300,77.0,DAL,right,82.565,29.885,1.84,2.3,0.19,47.74,301.95,None,,
40071,2021090900,2279,37082.0,51,2021-09-10T01:58:51.400,77.0,DAL,right,82.49,29.94,1.87,2.1,0.19,37.5,308.96,None,,
40072,2021090900,2279,37082.0,52,2021-09-10T01:58:51.500,77.0,DAL,right,82.34,30.09,2.01,1.78,0.22,27.41,316.46,None,,
40072,2021090900,2279,37082.0,53,2021-09-10T01:58:51.500,77.0,DAL,right,82.27000000000001,30.18,2.01,1.78,0.22,27.41,316.46,None,,
40073,2021090900,2279,37082.0,54,2021-09-10T01:58:51.600,77.0,DAL,right,82.2,30.27,2.12,1.44,0.22,21.03,322.24,None,,
40074,2021090900,2279,37082.0,55,2021-09-10T01:58:51.700,77.0,DAL,right,82.07,30.46,2.18,1.15,0.23,23.08,326.58,None,,
40074,2021090900,2279,37082.0,56,2021-09-10T01:58:51.700,77.0,DAL,right,82.01499999999999,30.595,2.18,1.15,0.23,23.08,326.58,None,,
40075,2021090900,2279,37082.0,57,2021-09-10T01:58:51.800,77.0,DAL,right,81.96,30.73,2.42,1.16,0.29,34.07,333.79,None,,
40076,2021090900,2279,37082.0,58,2021-09-10T01:58:51.900,77.0,DAL,right,81.89,30.99,2.52,1.2,0.27,30.31,339.84,None,,
40076,2021090900,2279,37082.0,59,2021-09-10T01:58:51.900,77.0,DAL,right,81.85499999999999,31.125,2.52,1.2,0.27,30.31,339.84,None,,
40077,2021090900,2279,37082.0,60,2021-09-10T01:58:52.000,77.0,DAL,right,81.82,31.26,2.58,1.3,0.27,18.96,344.64,None,,
40078,2021090900,2279,37082.0,61,2021-09-10T01:58:52.100,77.0,DAL,right,81.76,31.51,2.59,1.23,0.26,19.78,347.71,None,,
40078,2021090900,2279,37082.0,62,2021-09-10T01:58:52.100,77.0,DAL,right,81.75,31.65,2.59,1.23,0.26,19.78,347.71,None,,
40079,2021090900,2279,37082.0,63,2021-09-10T01:58:52.200,77.0,DAL,right,81.74,31.79,2.61,1.33,0.27,15.76,352.69,None,,
40080,2021090900,2279,37082.0,64,2021-09-10T01:58:52.300,77.0,DAL,right,81.72,32.06,2.62,1.38,0.27,3.97,356.45,None,,
40080,2021090900,2279,37082.0,65,2021-09-10T01:58:52.300,77.0,DAL,right,81.725,32.195,2.62,1.38,0.27,3.97,356.45,None,,
40081,2021090900,2279,37082.0,66,2021-09-10T01:58:52.400,77.0,DAL,right,81.73,32.33,2.61,1.43,0.27,352.6,0.79,None,,
40082,2021090900,2279,37082.0,67,2021-09-10T01:58:52.500,77.0,DAL,right,81.76,32.6,2.56,1.54,0.26,349.47,5.41,None,,
40082,2021090900,2279,37082.0,68,2021-09-10T01:58:52.500,77.0,DAL,right,81.78999999999999,32.725,2.56,1.54,0.26,349.47,5.41,None,,
40083,2021090900,2279,37082.0,69,2021-09-10T01:58:52.600,77.0,DAL,right,81.82,32.85,2.5,1.64,0.26,345.68,10.78,None,,
40084,2021090900,2279,37082.0,70,2021-09-10T01:58:52.700,77.0,DAL,right,81.91,33.07,2.36,1.95,0.24,326.23,17.78,None,,
40084,2021090900,2279,37082.0,71,2021-09-10T01:58:52.700,77.0,DAL,right,81.955,33.175,2.36,1.95,0.24,326.23,17.78,None,,
40085,2021090900,2279,37082.0,72,2021-09-10T01:58:52.800,77.0,DAL,right,82.0,33.28,2.2,2.03,0.22,311.23,23.32,None,,
40086,2021090900,2279,37082.0,73,2021-09-10T01:58:52.900,77.0,DAL,right,82.12,33.43,2.0,2.15,0.2,319.6,31.47,None,,
40086,2021090900,2279,37082.0,74,2021-09-10T01:58:52.900,77.0,DAL,right,82.17500000000001,33.510000000000005,2.0,2.15,0.2,319.6,31.47,None,,
40087,2021090900,2279,37082.0,75,2021-09-10T01:58:53.000,77.0,DAL,right,82.23,33.59,1.85,2.05,0.19,307.72,36.97,None,,
40088,2021090900,2279,37082.0,76,2021-09-10T01:58:53.100,77.0,DAL,right,82.33,33.69,1.6,2.2,0.15,312.79,44.27,None,,
40088,2021090900,2279,37082.0,77,2021-09-10T01:58:53.100,77.0,DAL,right,82.38,33.739999999999995,1.6,2.2,0.15,312.79,44.27,None,,
40089,2021090900,2279,37082.0,78,2021-09-10T01:58:53.200,77.0,DAL,right,82.43,33.79,1.38,2.18,0.14,315.28,49.43,None,,
40090,2021090900,2279,37082.0,79,2021-09-10T01:58:53.300,77.0,DAL,right,82.52,33.86,1.17,2.07,0.12,315.28,55.09,None,,
40090,2021090900,2279,37082.0,80,2021-09-10T01:58:53.300,77.0,DAL,right,82.56,33.885,1.17,2.07,0.12,315.28,55.09,None,,
40091,2021090900,2279,37082.0,81,2021-09-10T01:58:53.400,77.0,DAL,right,82.6,33.91,0.95,1.92,0.1,314.0,60.38,None,,
40092,2021090900,2279,37082.0,82,2021-09-10T01:58:53.500,77.0,DAL,right,82.65,33.93,0.65,1.86,0.05,328.52,68.48,None,,
40092,2021090900,2279,37082.0,83,2021-09-10T01:58:53.500,77.0,DAL,right,82.67500000000001,33.94,0.65,1.86,0.05,328.52,68.48,None,,
40093,2021090900,2279,37082.0,84,2021-09-10T01:58:53.600,77.0,DAL,right,82.7,33.95,0.5,1.62,0.06,329.4,77.88,None,,
40094,2021090900,2279,37082.0,85,2021-09-10T01:58:53.700,77.0,DAL,right,82.72,33.95,0.3,1.4,0.02,332.63,93.94,None,,
40094,2021090900,2279,37082.0,86,2021-09-10T01:58:53.700,77.0,DAL,right,82.72999999999999,33.945,0.3,1.4,0.02,332.63,93.94,None,,
40095,2021090900,2279,37082.0,87,2021-09-10T01:58:53.800,77.0,DAL,right,82.74,33.94,0.2,1.18,0.02,331.39,121.74,None,,
40096,2021090900,2279,37082.0,88,2021-09-10T01:58:53.900,77.0,DAL,right,82.75,33.93,0.17,0.9,0.02,328.41,148.79,qb_sack,,
